team,city,mascot,league,division,year
Cincinnati,,,aa,,
Connecticut,,,aa,,
East Carolina,,,aa,,
Houston,,,aa,,
Memphis,,,aa,,
S-M-U,,,aa,,
South Florida,,,aa,,
Temple,,,aa,,
Tulane,,,aa,,
Tulsa,,,aa,,
U-C-F,,,aa,,
Boston College,,,acc,,
Clemson,,,acc,,
Duke,,,acc,,
Florida State,,,acc,,
Georgia Tech,,,acc,,
Louisville,,,acc,,
Miami-Florida,,,acc,,
No Carolina State,,,acc,,
North Carolina,,,acc,,
Pittsburgh,,,acc,,
Syracuse,,,acc,,
Virginia,,,acc,,
Virginia Tech,,,acc,,
Wake Forest,,,acc,,
Illinois,,,big10,west,
Indiana,,,big10,east,
Iowa,,,big10,west,
Maryland,,,big10,east,
Michigan,,,big10,east,
Michigan State,,,big10,east,
Minnesota,,,big10,west,
Nebraska,,,big10,west,
Northwestern,,,big10,west,
Ohio State,,,big10,east,
Penn State,,,big10,east,
Purdue,,,big10,west,
Rutgers,,,big10,east,
Wisconsin,,,big10,west,
Baylor,,,big12,,
Iowa State,,,big12,,
Kansas,,,big12,,
Kansas State,,,big12,,
Oklahoma,,,big12,,
Oklahoma State,,,big12,,
Texas,,,big12,,
Texas Christian,,,big12,,
Texas Tech,,,big12,,
West Virginia,,,big12,,
Florida Atlantic,,,cusa,,
Florida Intl,,,cusa,,
Louisiana Tech,,,cusa,,
Marshall,,,cusa,,
Middle Tennessee,,,cusa,,
North Texas,,,cusa,,
Old Dominion,,,cusa,,
Rice,,,cusa,,
Southern Miss,,,cusa,,
Texas-San Antonio,,,cusa,,
U-A-B,,,cusa,,
UTEP,,,cusa,,
Western Kentucky,,,cusa,,
Army,,,ind,,
Brigham Young,,,ind,,
Navy,,,ind,,
Notre Dame,,,ind,,
Akron,,,ma,,
Ball State,,,ma,,
Bowling Green,,,ma,,
Central Michigan,,,ma,,
Eastern Michigan,,,ma,,
Kent State,,,ma,,
Massachusetts,,,ma,,
Miami-Ohio,,,ma,,
Northern Illinois,,,ma,,
Ohio,,,ma,,
Toledo,,,ma,,
Western Michigan,,,ma,,
Air Force,,,mw,,
Boise State,,,mw,,
Colorado State,,,mw,,
Fresno State,,,mw,,
Hawaii,,,mw,,
Nevada-Las Vegas,,,mw,,
Nevada-Reno,,,mw,,
New Mexico,,,mw,,
San Diego State,,,mw,,
San Jose State,,,mw,,
Utah State,,,mw,,
Wyoming,,,mw,,
Arizona,,,pac12,south,
Arizona State,,,pac12,south,
California,,,pac12,north,
Colorado,,,pac12,south,
Oregon,,,pac12,north,
Oregon State,,,pac12,north,
Southern Cal,,,pac12,south,
Stanford,,,pac12,north,
U.C.L.A.,,,pac12,south,
Utah,,,pac12,south,
Washington,,,pac12,north,
Washington State,,,pac12,north,
Appalachian State,,,sb,,
Arkansas State,,,sb,,
Georgia Southern,,,sb,,
Georgia State,,,sb,,
Idaho,,,sb,,
New Mexico State,,,sb,,
South Alabama,,,sb,,
Texas State,,,sb,,
Troy,,,sb,,
UL-Lafayette,,,sb,,
UL-Monroe,,,sb,,
Alabama,,,sec,,
Arkansas,,,sec,,
Auburn,,,sec,,
Florida,,,sec,,
Georgia,,,sec,,
Kentucky,,,sec,,
Louisiana State,,,sec,,
Mississippi,,,sec,,
Mississippi State,,,sec,,
Missouri,,,sec,,
South Carolina,,,sec,,
Tennessee,,,sec,,
Texas A+M,,,sec,,
Vanderbilt,,,sec,,
Abilene Christian,,,fcs,,
Alabama A+M,,,fcs,,
Alabama State,,,fcs,,
Alcorn State,,,fcs,,
Arkansas-Pine Bluff,,,fcs,,
Austin Peay,,,fcs,,
Bethune-Cookman,,,fcs,,
Buffalo,,,fcs,,
Cal-San Luis Obispo,,,fcs,,
Central Arkansas,,,fcs,,
Charleston Southern,,,fcs,,
Chattanooga,,,fcs,,
Coastal Carolina,,,fcs,,
Colgate,,,fcs,,
Delaware,,,fcs,,
Eastern Illinois,,,fcs,,
Eastern Kentucky,,,fcs,,
Eastern Washington,,,fcs,,
Elon,,,fcs,,
Florida A+M,,,fcs,,
Fordham,,,fcs,,
Furman,,,fcs,,
Gardner-Webb,,,fcs,,
Grambling,,,fcs,,
Howard,,,fcs,,
Idaho State,,,fcs,,
Illinois State,,,fcs,,
Indiana State,,,fcs,,
Jackson State,,,fcs,,
Jacksonville St,,,fcs,,
James Madison,,,fcs,,
Lamar,,,fcs,,
Liberty,,,fcs,,
Maine,,,fcs,,
McNeese State,,,fcs,,
Missouri State,,,fcs,,
Montana State,,,fcs,,
Morgan State,,,fcs,,
Murray State,,,fcs,,
New Hampshire,,,fcs,,
Nicholls State,,,fcs,,
No Carolina Central,,,fcs,,
Norfolk State,,,fcs,,
North Dakota St,,,fcs,,
Northern Arizona,,,fcs,,
Northern Colorado,,,fcs,,
Northern Iowa,,,fcs,,
Northwestern St(LA),,,fcs,,
Portland State,,,fcs,,
Prairie View,,,fcs,,
Presbyterian,,,fcs,,
Richmond,,,fcs,,
S E Louisiana,,,fcs,,
S E Missouri St,,,fcs,,
Sacramento State,,,fcs,,
Sam Houston State,,,fcs,,
Samford,,,fcs,,
Savannah State,,,fcs,,
So Carolina State,,,fcs,,
South Dakota,,,fcs,,
South Dakota State,,,fcs,,
Southern Illinois,,,fcs,,
Southern Univ,,,fcs,,
Southern Utah,,,fcs,,
Stephen F Austin,,,fcs,,
Stony Brook,,,fcs,,
Tennessee Tech,,,fcs,,
Tennessee-Martin,,,fcs,,
The Citadel,,,fcs,,
Towson,,,fcs,,
UC-Davis,,,fcs,,
Villanova,,,fcs,,
Virginia Military,,,fcs,,
Wagner,,,fcs,,
Weber State,,,fcs,,
Western Carolina,,,fcs,,
Western Illinois,,,fcs,,
William + Mary,,,fcs,,
Wofford,,,fcs,,
Youngstown State,,,fcs,,